ID,SMILES
135,O=C1CCC(N2C(=O)c3ccc(F)cc3C2=O)C(=O)N1
136,O=C(CCl)NC(C(=O)NCc1ccccc1)c1nc2ccccc2s1
137,Cc1nc(C)c(-c2ccc([C@H](C)NC(=O)[C@@H]3C[C@@H](O)CN3C(=O)[C@@H](N)C(C)(C)C)cc2)s1
138,Cc1ncsc1-c1ccc(-c2c[nH]c([C@@H]3C[C@@H](O)CN3C(=O)[C@@H](N)C(C)(C)C)n2)cc1
139,Cc1nc(C)c(-c2ccc(-c3c[nH]c([C@@H]4C[C@@H](O)CN4C(=O)[C@@H](N)C(C)(C)C)n3)cc2)s1
140,CN1CCc2cc3c(cc2C1)C(=O)N(C1CCC(=O)NC1=O)C3=O
141,CN1CCc2cc3c(cc2CC1)C(=O)N(C1CCC(=O)NC1=O)C3=O
142,Cn1c(=O)n(C2CCC(=O)NC2=O)c2ccccc21
143,COc1cc(C(N)=O)ccc1NC(=O)[C@@H]1N[C@@H](CC(C)(C)C)[C@@]2(C(=O)Nc3cc(Cl)ccc32)[C@H]1c1cccc(Cl)c1F
144,CN[C@@H](C)C(=O)N[C@H](C(=O)N1CCC[C@H]1c1nc(C(=O)c2ccc(F)cc2)cs1)C1CCCCC1
145,COC(=O)[C@H](CC(C)C)NC(=O)[C@@H](O)[C@@H](Cc1ccccc1)NC(=O)OC(C)(C)C
146,COc1cc(/C=C/C(=O)N2CCC=CC2=O)cc(OC)c1OC
147,CC(C)CC1NC(=O)C(CC(=O)O)NC(=O)C2CCCN2C(=O)C(N)CSCc2cccc(c2)CSCC(C(N)=O)NC1=O
148,NCC(=O)N[C@H]1CCC(=O)NC1=O
149,NCC(=O)N[C@H]1CC(=O)NC1=O
150,C#Cc1ccc([C@H]2CN(C(=O)C=C)[C@H]2C(=O)Nc2cccc3cccnc23)cc1
151,COc1cc([C@@H](CC(=O)O)c2ccc(C)c(CN3C[C@@H](C)Oc4ccccc4S3(=O)=O)c2)cc2nnn(C)c12
152,COc1cc([C@@H](CC(=O)O)c2ccc(C)c(CN(C)S(=O)(=O)c3ccccc3)c2)cc2nnn(C)c12
153,O=C1CCC(NC(=O)c2ccccc2F)C(=O)N1
154,COc1ccccc1C(=O)NC1CCC(=O)NC1=O
155,O=C1CCC(NC(=O)c2ccccc2)C(=O)N1
156,Nc1cc(OS(=O)(=O)F)cc2c1C(=O)N(C1CCC(=O)NC1=O)C2=O
157,N=C(N)NCCC[C@H](NC(=O)[C@H](CCCNC(=N)N)NC(=O)[C@H](CCCNC(=N)N)NC(=O)[C@H](CCCNC(=N)N)NC(=O)[C@H](CCCNC(=N)N)NC(=O)[C@H](CCCNC(=N)N)NC(=O)[C@H](CCCNC(=N)N)NC(=O)[C@H](CCCNC(=N)N)NC(=O)[C@H](CCCNC(=N)N)NC(=O)[C@H](CCCNC(=N)N)NC(=O)[C@H](CCCNC(=N)N)NC(=O)[C@@H](N)CCCNC(=N)N)C(=O)O
158,CC(=O)N1CCN(c2ccc3c(NCCN)nc(C4(c5ccc(Cl)cc5)CCCCC4)nc3c2)CC1
159,CCC(C)c1cc2c(n(-c3ccc(=O)n(CC(=O)O)c3)c1=O)CN(C(=O)OCCOC)CC2
0,Cc1ncsc1-c1ccc(C(C)NC(=O)C2CC(O)CN2C(=O)C(N)C(C)(C)C)cc1
2,CC(C)CC(NC(=O)C(O)C(N)Cc1ccccc1)C(=O)O
3,COc1cc(C(=O)O)ccc1NC(=O)C1NC(CC(C)(C)C)C(C#N)(c2ccc(Cl)cc2F)C1c1cccc(Cl)c1F
4,Cc1ncsc1-c1ccc(CNC(=O)C2CC(O)CN2C(=O)C(N)C(C)(C)C)cc1
6,CNC(C)C(=O)NC(C(=O)N1CC(N)CC1C(=O)NC1CCCc2ccccc21)C1CCCCC1
7,N=C(N)NCCCC(N)C(=O)O
8,NC(Cc1c[nH]cn1)C(=O)O
11,Cc1ncsc1-c1ccc(CNC(=O)C2CC(O)CN2C(=O)CN)cc1
12,Cc1ncsc1-c1ccc(CNC(=O)C2CC(O)CN2C(=O)C(C)N)cc1
13,CCC(N)C(=O)N1CC(O)CC1C(=O)NCc1ccc(-c2scnc2C)cc1
14,CCCC(N)C(=O)N1CC(O)CC1C(=O)NCc1ccc(-c2scnc2C)cc1
15,Cc1ncsc1-c1ccc(CNC(=O)C2CC(O)CN2C(=O)C(N)C(C)C)cc1
16,Cc1ncsc1-c1ccc(CNC(=O)C2CC(O)CN2C(=O)C(NC(=O)C2(F)CC2)C(C)(C)C)cc1
17,CC(=O)NC(C(=O)N1CC(O)CC1C(=O)NCc1ccc(-c2scnc2C)cc1)C(C)C
18,CNC(=O)CC(NC(=O)C1CC(O)CN1C(=O)C(c1cc(C)no1)C(C)C)c1ccc(-c2scnc2C)cc1
19,C#Cc1ccc(C(CC(=O)NC)NC(=O)C2CC(O)CN2C(=O)C(c2cc(C)no2)C(C)C)cc1
20,CNC(=O)CC(NC(=O)C1CC(O)CN1C(=O)C(c1cc(C)no1)C(C)C)c1ccc(C#N)cc1
21,CNC(=O)CC(NC(=O)C1CC(O)CN1C(=O)C(c1cc(C)no1)C(C)C)c1ccc(Br)cc1
22,CNC(=O)CC(NC(=O)C1CC(O)CN1C(=O)C(c1cc(C)no1)C(C)C)c1ccc(Cl)cc1
23,CNC(=O)CC(NC(=O)C1CC(O)CN1C(=O)C(c1cc(C)no1)C(C)C)c1ccc(F)cc1
24,CNC(=O)CC(NC(=O)C1CC(O)CN1C(=O)C(c1cc(C)no1)C(C)C)c1ccccc1
25,CNC(=O)CC(NC(=O)C1CC(O)CN1C(=O)C(CNC(C)=O)C(C)C)c1ccccc1
28,Cc1ncsc1-c1ccc(CNC(=O)C2C(F)C(O)CN2C(=O)C(N)C(C)(C)C)cc1
30,CC(=O)NC(C(=O)N1CC(O)CC1C(=O)NCc1ccc(-c2[nH]cnc2C)cc1)C(C)(C)C
