PROTAC SMILES,E3 Binder SMILES with direction,Linker SMILES with direction,POI Ligand SMILES with direction,E3 Binder SMILES,Linker SMILES,POI Ligand SMILES,Notes
CCOC(=O)c1[nH]c2cc(Cl)ccc2c1C(C(=O)NC(C)(C)C)N(Cc1ccc(Cl)cc1)C(=O)CCC#Cc1cccc2c1CN(C1CCC(=O)NC1=O)C2=O,O=C1CCC(N2Cc3c(cccc3[*:2])C2=O)C(=O)N1,O=C(CCC#C[*:2])[*:1],CCOC(=O)c1[nH]c2cc(Cl)ccc2c1C(C(=O)NC(C)(C)C)N(Cc1ccc(Cl)cc1)[*:1],O=C1CCC(N2Cc3ccccc3C2=O)C(=O)N1,C#CCCC=O,CCOC(=O)c1[nH]c2cc(Cl)ccc2c1C(NCc1ccc(Cl)cc1)C(=O)NC(C)(C)C,Manually mapped
Cc1ncsc1-c1ccc([C@H](C)NC(=O)[C@@H]2C[C@@H](O)CN2C(=O)[C@@H](NC(=O)CNC(=O)c2cccc(-c3ccc(N4CCN(C)CC4)c(NC(=O)c4c[nH]c(=O)cc4C(F)(F)F)c3)c2)C(C)(C)C)cc1,Cc1ncsc1-c1ccc([C@H](C)NC(=O)[C@@H]2C[C@@H](O)CN2C(=O)[C@@H](N[*:2])C(C)(C)C)cc1,O=C(CN[*:1])[*:2],CN1CCN(c2ccc(-c3cccc(C(=O)[*:1])c3)cc2NC(=O)c2c[nH]c(=O)cc2C(F)(F)F)CC1,Cc1ncsc1-c1ccc([C@H](C)NC(=O)[C@@H]2C[C@@H](O)CN2C(=O)[C@@H](N)C(C)(C)C)cc1,NCC=O,CN1CCN(c2ccc(-c3cccc(C=O)c3)cc2NC(=O)c2c[nH]c(=O)cc2C(F)(F)F)CC1,Manually mapped
Cc1ncsc1-c1ccc(CNC(=O)C2CC(O)CN2C(=O)C(NC(=O)CNC(=O)c2ccc(F)c(-c3ccc(N4CC(C)N(C)C(C)C4)c(NC(=O)c4c[nH]c(=O)cc4C(F)(F)F)c3)c2)C(C)(C)C)cc1,Cc1ncsc1-c1ccc(CNC(=O)C2CC(O)CN2C(=O)C(N[*:2])C(C)(C)C)cc1,O=C(CN[*:1])[*:2],CC1CN(c2ccc(-c3cc(C(=O)[*:1])ccc3F)cc2NC(=O)c2c[nH]c(=O)cc2C(F)(F)F)CC(C)N1C,Cc1ncsc1-c1ccc(CNC(=O)C2CC(O)CN2C(=O)C(N)C(C)(C)C)cc1,NCC=O,CC1CN(c2ccc(-c3cc(C=O)ccc3F)cc2NC(=O)c2c[nH]c(=O)cc2C(F)(F)F)CC(C)N1C,Manually mapped
CCOC(=O)c1[nH]c2cc(Cl)ccc2c1C(C(=O)NC(C)(C)C)N(Cc1ccc(Cl)cc1)C(=O)CCCC#Cc1cccc2c1CN(C1CCC(=O)NC1=O)C2=O,O=C1CCC(N2Cc3c(cccc3[*:2])C2=O)C(=O)N1,O=C(CCCC#C[*:2])[*:1],CCOC(=O)c1[nH]c2cc(Cl)ccc2c1C(C(=O)NC(C)(C)C)N(Cc1ccc(Cl)cc1)[*:1],O=C1CCC(N2Cc3ccccc3C2=O)C(=O)N1,C#CCCCC=O,CCOC(=O)c1[nH]c2cc(Cl)ccc2c1C(NCc1ccc(Cl)cc1)C(=O)NC(C)(C)C,Manually mapped
O=C1CCC(N2C(=O)c3cccc(NCCCCNC(=O)/C(Cc4ccccc4[N+](=O)[O-])=N/Nc4nc(-c5ccc(-c6ccccc6)cc5)cs4)c3C2=O)C(=O)N1,O=C1CCC(N2C(=O)c3cccc([*:2])c3C2=O)C(=O)N1,C(CCN[*:2])CN[*:1],O=C(/C(Cc1ccccc1[N+](=O)[O-])=N/Nc1nc(-c2ccc(-c3ccccc3)cc2)cs1)[*:1],O=C1CCC(N2C(=O)c3ccccc3C2=O)C(=O)N1,NCCCCN,O=C/C(Cc1ccccc1[N+](=O)[O-])=N/Nc1nc(-c2ccc(-c3ccccc3)cc2)cs1,Manually mapped
Cc1ncsc1-c1ccc(CNC(=O)[C@@H]2C[C@@H](O)CN2C(=O)[C@@H](NC(=O)CNC(=O)c2ccc(F)c(-c3ccc(N4C[C@@H](C)N(C)[C@@H](C)C4)c(NC(=O)c4c[nH]c(=O)cc4C(F)(F)F)c3)c2)C(C)(C)C)cc1,Cc1ncsc1-c1ccc(CNC(=O)[C@@H]2C[C@@H](O)CN2C(=O)[C@@H](N[*:2])C(C)(C)C)cc1,O=C(CN[*:1])[*:2],C[C@@H]1CN(c2ccc(-c3cc(C(=O)[*:1])ccc3F)cc2NC(=O)c2c[nH]c(=O)cc2C(F)(F)F)C[C@H](C)N1C,Cc1ncsc1-c1ccc(CNC(=O)[C@@H]2C[C@@H](O)CN2C(=O)[C@@H](N)C(C)(C)C)cc1,NCC=O,C[C@@H]1CN(c2ccc(-c3cc(C=O)ccc3F)cc2NC(=O)c2c[nH]c(=O)cc2C(F)(F)F)C[C@H](C)N1C,Manually mapped
Cc1ncsc1-c1ccc(CNC(=O)[C@@H]2C[C@@H](O)CN2C(=O)[C@@H](NC(=O)CNC(=O)c2cccc(-c3ccc(N4C[C@@H](C)N(C)[C@@H](C)C4)c(NC(=O)c4c[nH]c(=O)cc4C(F)(F)F)c3)c2)C(C)(C)C)cc1,Cc1ncsc1-c1ccc(CNC(=O)[C@@H]2C[C@@H](O)CN2C(=O)[C@@H](N[*:2])C(C)(C)C)cc1,O=C(CN[*:1])[*:2],C[C@@H]1CN(c2ccc(-c3cccc(C(=O)[*:1])c3)cc2NC(=O)c2c[nH]c(=O)cc2C(F)(F)F)C[C@H](C)N1C,Cc1ncsc1-c1ccc(CNC(=O)[C@@H]2C[C@@H](O)CN2C(=O)[C@@H](N)C(C)(C)C)cc1,NCC=O,C[C@@H]1CN(c2ccc(-c3cccc(C=O)c3)cc2NC(=O)c2c[nH]c(=O)cc2C(F)(F)F)C[C@H](C)N1C,Manually mapped
Cc1ncsc1-c1ccc(CNC(=O)[C@@H]2C[C@@H](O)CN2C(=O)[C@@H](NC(=O)CNC(=O)c2cccc(-c3ccc(N4CCN(C)CC4)c(NC(=O)c4c[nH]c(=O)cc4C(F)(F)F)c3)c2)C(C)(C)C)cc1,Cc1ncsc1-c1ccc(CNC(=O)[C@@H]2C[C@@H](O)CN2C(=O)[C@@H](N[*:2])C(C)(C)C)cc1,O=C(CN[*:1])[*:2],CN1CCN(c2ccc(-c3cccc(C(=O)[*:1])c3)cc2NC(=O)c2c[nH]c(=O)cc2C(F)(F)F)CC1,Cc1ncsc1-c1ccc(CNC(=O)[C@@H]2C[C@@H](O)CN2C(=O)[C@@H](N)C(C)(C)C)cc1,NCC=O,CN1CCN(c2ccc(-c3cccc(C=O)c3)cc2NC(=O)c2c[nH]c(=O)cc2C(F)(F)F)CC1,Manually mapped
O=C1CCC(N2Cc3c(C#CCCCCC(=O)N(Cc4ccc(Cl)cc4)Cc4cc(F)c(F)c(F)c4)cccc3C2=O)C(=O)N1,O=C1CCC(N2Cc3c(cccc3[*:2])C2=O)C(=O)N1,O=C(CCCCC#C[*:2])[*:1],Fc1cc(CN(Cc2ccc(Cl)cc2)[*:1])cc(F)c1F,O=C1CCC(N2Cc3ccccc3C2=O)C(=O)N1,C#CCCCCC=O,Fc1cc(CNCc2ccc(Cl)cc2)cc(F)c1F,Manually mapped
Cc1ncsc1-c1ccc(C(C)NC(=O)C2CC(O)CN2C(=O)C(NC(=O)CNC(=O)c2cccc(-c3ccc(N4CCN(C)CC4)c(NC(=O)c4c[nH]c(=O)cc4C(F)(F)F)c3)c2)C(C)(C)C)cc1,Cc1ncsc1-c1ccc(C(C)NC(=O)C2CC(O)CN2C(=O)C(N[*:2])C(C)(C)C)cc1,O=C(CN[*:1])[*:2],CN1CCN(c2ccc(-c3cccc(C(=O)[*:1])c3)cc2NC(=O)c2c[nH]c(=O)cc2C(F)(F)F)CC1,Cc1ncsc1-c1ccc(C(C)NC(=O)C2CC(O)CN2C(=O)C(N)C(C)(C)C)cc1,NCC=O,CN1CCN(c2ccc(-c3cccc(C=O)c3)cc2NC(=O)c2c[nH]c(=O)cc2C(F)(F)F)CC1,Manually mapped
